age,XOM-GOM-31_CDF,XOM-GOM-40_CDF,XOM-GOM-43_CDF,XOM-GOM-44_CDF,XOM-GOM-31_KDE,XOM-GOM-40_KDE,XOM-GOM-43_KDE,XOM-GOM-44_KDE
0.0,0.0,0.0,0.0,0.0,2.21348693012e-05,2.03630216502e-34,2.42993689474e-05,1.04197357499e-05
1.0,0.0,0.0,0.0,0.0,2.43861798525e-05,3.25408162734e-34,2.69596974781e-05,1.15918715939e-05
2.0,0.0,0.0,0.0,0.0,2.68247188424e-05,5.19182196539e-34,2.98663713037e-05,1.28758032858e-05
3.0,0.0,0.0,0.0,0.0,2.94612739473e-05,8.27020488785e-34,3.30367966984e-05,1.42797253043e-05
4.0,0.0,0.0,0.0,0.0,3.23067411348e-05,1.3152789672e-33,3.64890066891e-05,1.58121526277e-05
5.0,0.0,0.0,0.0,0.0,3.53720655876e-05,2.08845254033e-33,4.02416167525e-05,1.74819021966e-05
6.0,0.0,0.0,0.0,0.0,3.86681766126e-05,3.31082689475e-33,4.43137716727e-05,1.9298070269e-05
7.0,0.0,0.0,0.0,0.0,4.22059165943e-05,5.24026762373e-33,4.87250831734e-05,2.12700054887e-05
8.0,0.0,0.0,0.0,0.0,4.5995964129e-05,8.28086279434e-33,5.34955580031e-05,2.34072775206e-05
9.0,0.0,0.0,0.0,0.0,5.00487515488e-05,1.30648022122e-32,5.86455162215e-05,2.57196411411e-05
10.0,0.0,0.0,0.0,0.0,5.43743771332e-05,2.05795189404e-32,6.41954995175e-05,2.82169957172e-05
11.0,0.0,0.0,0.0,0.0,5.8982512386e-05,3.2364785031e-32,7.01661694841e-05,3.0909340051e-05
12.0,0.0,0.0,0.0,0.0,6.38823048488e-05,5.08177419644e-32,7.6578195873e-05,3.38067226182e-05
13.0,0.0,0.0,0.0,0.0,6.90822770099e-05,7.96641872028e-32,8.34521349648e-05,3.69191872852e-05
14.0,0.0,0.0,0.0,0.0,7.45902219595e-05,1.24685520931e-31,9.08082983082e-05,4.02567146473e-05
15.0,0.0,0.0,0.0,0.0,8.04130965324e-05,1.94838172548e-31,9.86666122068e-05,4.38291591904e-05
16.0,0.0,0.0,0.0,0.0,8.65569127663e-05,3.03974532909e-31,0.000107046468464,4.76461825458e-05
17.0,0.0,0.0,0.0,0.0,9.30266285902e-05,4.73484188617e-31,0.000115966567034,5.17171831702e-05
18.0,0.0,0.0,0.0,0.0,9.9826038735e-05,7.36340843727e-31,0.000125444751359,5.60512228496e-05
19.0,0.0,0.0,0.0,0.0,0.000106957666932,1.14329269753e-30,0.00013549783733,6.06569504924e-05
20.0,0.0,0.0,0.0,0.0,0.000114422660532,1.77231575087e-30,0.000146141436925,6.55425237389e-05
21.0,0.0,0.0,0.0,0.0,0.000122220688728,2.74302580696e-30,0.000157389777739,7.07155289792e-05
22.0,0.0,0.0,0.0,0.0,0.000130349845613,4.23861351731e-30,0.000169255519739,7.61829004254e-05
23.0,0.0,0.0,0.0,0.0,0.000138806559336,6.5391736878e-30,0.000181749570707,8.19508389397e-05
24.0,0.0,0.0,0.0,0.0,0.000147585508639,1.00722629656e-29,0.000194880901956,8.80247313674e-05
